Id,Age,Geo,Gender,Language_Spoken,Language_Used,Education,Employed,Occupation,HH_Income,Ethnic_Background,Labels
189,19 Years,Ontario,Male,English,English,High School Graduation Certificate,Not Employed,Unskilled,$75000-$99999,South Asian (East Indian Pakistani),Burgers_Burger Past 30 1-2
190,45-49,Ontario,Female,French,English,Elementary School Graduation Cert,Not Employed,Skilled,$75000-$99999,White,Burgers_Burger past 30 3-4
191,40-44,British Columbia,Male,English,English,Elementary School Graduation Cert,Not Employed,Other Managers,$50000-$59999,White,Chicken_Chicken Past 30 1-2
192,70+,Alberta,Female,English,English,Elementary School Graduation Cert,Not Employed,Skilled,$60000-$74999,Not Stated,Burgers_Burger past 30 3-4
193,45-49,Ontario,Female,French,English,Earned Doctorate,Full-Time,Unskilled,$150000-$199999,White,Chicken_Chicken Past 30 1-2
194,25-29,Ontario,Male,English,French,High School Graduation Certificate,Part-Time,Other Managers,$75000-$99999,South Asian (East Indian Pakistani),Chicken_Chicken Past 30 5+
195,50-54,Newfoundland and Labrador,Male,English,English,Masters Degrees,Full-Time,Other Managers,$75000-$99999,White,Chicken_Chicken Past 30 1-2
196,40-44,Ontario,Female,Other,English,Elementary School Graduation Cert,Not Employed,Other,Under $25000,Other,Burgers_Burger Past 30 1-2
197,22-24,Quebec,Female,English,English,High School Graduation Certificate,Not Employed,Clerical/Secretarial,$100000-$124999,White,Popeye (Less) 5+
198,35-39,Quebec,Male,English,English,Bachelors Degrees,Full-Time,Other Managers,$40000-$49999,White,Chicken_Chicken Past 30 1-2
199,25-29,Ontario,Male,English,French,High School Graduation Certificate,Full-Time,Unskilled,$75000-$99999,South Asian (East Indian Pakistani),Chicken_Chicken Past 30 5+
200,55-59,Manitoba,Female,English,English,High School Graduation Certificate,Not Employed,Other Managers,$100000-$124999,White,Burgers_Burger Past 30 1-2
201,45-49,Ontario,Female,Spanish,English,Other Certificate/Diploma Not Univ,Not Employed,Senior Managers/Owners,$75000-$99999,White,Burgers_Burger past 30 3-4
202,60-64,Ontario,Male,English,English,Elementary School Graduation Cert,Full-Time,Skilled,$50000-$59999,West Asian (Afghan Iranian etc),Burgers_Burger Past 30 1-2
203,25-29,Ontario,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other,$150000-$199999,White,Chicken_Chicken Past 30 1-2
204,35-39,Alberta,Female,English,English,Other Certificate/Diploma Not Univ,Full-Time,Clerical/Secretarial,$60000-$74999,White,Burgers_Burger past 30 3-4
205,25-29,Ontario,Male,German,French,None,Full-Time,Other,$40000-$49999,White,Chicken_Chicken Past 30 1-2
206,45-49,Alberta,Female,Other,English,High School Graduation Certificate,Not Employed,Other,$50000-$59999,White,Chicken_Chicken Past 30 1-2
207,25-29,Ontario,Male,German,English,Trade Certificate/Diploma,Part-Time,Other,$75000-$99999,White,Popeye (Less) 1-2
208,30-34,Ontario,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other,$125000-$149999,White,Chicken_Chicken Past 30 5+
209,30-34,Nova Scotia,Male,English,German,Other Certificate/Diploma Not Univ,Not Employed,Technical/Sales/Teaching/Other White Collar,$35000-$39999,White,Chicken_Chicken Past 30 1-2
210,70+,Manitoba,Female,English,English,High School Graduation Certificate,Not Employed,Professionals,$60000-$74999,East/South Asian (Cambodian Indonesian),Burgers_Burger Past 30 1-2
211,25-29,Alberta,Male,English,English,None,Not Employed,Other,$60000-$74999,White,Chicken_Chicken Past 30 1-2
212,25-29,Ontario,Female,English,English,Elementary School Graduation Cert,Full-Time,Other Managers,$60000-$74999,White,Burgers_Burger Past 30 1-2
213,22-24,Ontario,Female,French,English,High School Graduation Certificate,Part-Time,Unskilled,$150000-$199999,White,Popeyes 1-2
214,22-24,Saskatchewan,Female,English,English,High School Graduation Certificate,Full-Time,Other,$40000-$49999,White,Chicken_Chicken Past 30 1-2
215,55-59,Ontario,Male,French,English,Other Certificate/Diploma Not Univ,Not Employed,Clerical/Secretarial,$50000-$59999,Aboriginal,Popeye (Less) 1-2
216,70+,Ontario,Female,English,French,High School Graduation Certificate,Full-Time,Other Managers,$60000-$74999,White,Chicken_Chicken past 30 3-4
217,40-44,Manitoba,Male,Indian-Hindi,English,Elementary School Graduation Cert,Full-Time,Unskilled,$100000-$124999,White,Burgers_Burger past 30 3-4
218,70+,Ontario,Female,English,French,High School Graduation Certificate,Full-Time,Other,$35000-$39999,White,Burgers_Burger past 30 3-4
219,55-59,Quebec,Male,Chinese - Mandarin,English,Bachelors Degrees,Part-Time,Technical/Sales/Teaching/Other White Collar,$200000 Or Over,White,Chicken_Chicken Past 30 1-2
220,50-54,Quebec,Female,English,English,Bachelors Degrees,Full-Time,Unskilled,$25000-$34999,White,Chicken_Chicken Past 30 1-2
221,65-69,Ontario,Female,French,Arabic,High School Graduation Certificate,Not Employed,Other,$100000-$124999,White,Burgers_Burger past 30 3-4
222,40-44,Ontario,Male,English,English,Trade Certificate/Diploma,Part-Time,Skilled,$50000-$59999,White,Chicken_Chicken past 30 3-4
223,65-69,Ontario,Male,English,English,Elementary School Graduation Cert,Full-Time,Other Managers,$75000-$99999,Aboriginal,Burgers_Burger Past 30 1-2
224,50-54,Ontario,Female,English,English,High School Graduation Certificate,Full-Time,Clerical/Secretarial,$75000-$99999,White,Burgers_Burger Past 30 1-2
225,30-34,Quebec,Female,French,Spanish,Bachelors Degrees,Not Employed,Other,$25000-$34999,East/South Asian (Cambodian Indonesian),Chicken_Chicken Past 30 1-2
226,40-44,Alberta,Female,English,English,High School Graduation Certificate,Full-Time,Technical/Sales/Teaching/Other White Collar,$125000-$149999,White,Burgers_Burger Past 30 1-2
227,60-64,Alberta,Female,Tagalog,English,Elementary School Graduation Cert,Full-Time,Technical/Sales/Teaching/Other White Collar,$75000-$99999,Chinese,Burgers_Burger past 30 3-4
228,14 Years,Ontario,Female,French,French,None,Part-Time,Other,$200000 Or Over,White,Burgers_Burger Past 30 5+
229,65-69,Manitoba,Male,English,English,Elementary School Graduation Cert,Full-Time,Professionals,$35000-$39999,White,Burgers_Burger Past 30 1-2
230,30-34,Nova Scotia,Female,English,English,Elementary School Graduation Cert,Not Employed,Other,$25000-$34999,White,Burgers_Burger Past 30 1-2
231,45-49,Manitoba,Female,French,Other,Other Certificate/Diploma Not Univ,Part-Time,Unskilled,$75000-$99999,White,Burgers_Burger Past 30 1-2
232,22-24,Alberta,Male,English,French,Other Certificate/Diploma Not Univ,Full-Time,Other,$125000-$149999,Not Stated,Burgers_Burger Past 30 1-2
233,25-29,Ontario,Female,Chinese - Mandarin,French,Bachelors Degrees,Not Employed,Other Managers,$100000-$124999,White,Burgers_Burger Past 30 1-2
234,25-29,Ontario,Female,Portuguese,French,High School Graduation Certificate,Not Employed,Other Managers,$150000-$199999,White,Chicken_Chicken past 30 3-4
235,45-49,Alberta,Male,English,English,Elementary School Graduation Cert,Not Employed,Professionals,$50000-$59999,White,Burgers_Burger past 30 3-4
236,40-44,Ontario,Male,English,English,None,Not Employed,Other Managers,$100000-$124999,Not Stated,Burgers_Burger Past 30 1-2
237,55-59,Quebec,Female,Indian-Punjabi,English,Elementary School Graduation Cert,Full-Time,Other,$40000-$49999,Aboriginal,Burgers_Burger Past 30 1-2
238,15-17,Ontario,Female,English,Tagalog,Bachelors Degrees,Full-Time,Professionals,$60000-$74999,White,Chicken_Chicken Past 30 1-2
239,15-17,Ontario,Female,English,English,High School Graduation Certificate,Full-Time,Technical/Sales/Teaching/Other White Collar,Under $25000,Not Stated,Chicken_Chicken Past 30 1-2
240,30-34,Quebec,Male,English,French,Elementary School Graduation Cert,Part-Time,Other,Under $25000,Aboriginal,Chicken_Chicken Past 30 1-2
241,70+,Alberta,Male,English,English,Univ Cert/Dipl Below Bachelor Level,Full-Time,Other,Under $25000,White,Burgers_Burger Past 30 1-2
242,25-29,Ontario,Male,English,English,Bachelors Degrees,Full-Time,Other,$40000-$49999,White,Burgers_Burger past 30 3-4
243,55-59,Ontario,Female,French,English,High School Graduation Certificate,Full-Time,Technical/Sales/Teaching/Other White Collar,$200000 Or Over,White,Chicken_Chicken Past 30 5+
244,55-59,Ontario,Male,French,Other,Elementary School Graduation Cert,Not Employed,Other,Under $25000,White,Chicken_Chicken past 30 3-4
245,60-64,British Columbia,Female,English,English,Elementary School Graduation Cert,Full-Time,Clerical/Secretarial,$75000-$99999,Other,Chicken_Chicken past 30 3-4
246,60-64,Manitoba,Male,English,French,Univ Cert/Dipl Below Bachelor Level,Part-Time,Senior Managers/Owners,$75000-$99999,White,Chicken_Chicken Past 30 1-2
247,50-54,Ontario,Female,English,French,Other Certificate/Diploma Not Univ,Full-Time,Clerical/Secretarial,$40000-$49999,White,Burgers_Burger Past 30 1-2
248,25-29,Ontario,Female,Spanish,English,Bachelors Degrees,Part-Time,Other Managers,$75000-$99999,White,Burgers_Burger Past 30 1-2
249,55-59,Alberta,Male,English,English,High School Graduation Certificate,Not Employed,Clerical/Secretarial,$200000 Or Over,White,Burgers_Burger past 30 3-4
250,70+,Alberta,Female,English,English,Other Certificate/Diploma Not Univ,Full-Time,Unskilled,Under $25000,White,Burgers_Burger Past 30 1-2
251,19 Years,Ontario,Female,French,Other,High School Graduation Certificate,Full-Time,Other,Under $25000,Filipino,Chicken_Chicken Past 30 1-2
252,40-44,Ontario,Female,English,English,Elementary School Graduation Cert,Not Employed,Unskilled,$100000-$124999,White,Chicken_Chicken past 30 3-4
253,55-59,Manitoba,Male,French,English,High School Graduation Certificate,Not Employed,Unskilled,Under $25000,Other,Chicken_Chicken Past 30 1-2
254,15-17,Ontario,Male,English,English,Trade Certificate/Diploma,Full-Time,Professionals,$150000-$199999,White,Burgers_Burger Past 30 1-2
255,22-24,Ontario,Female,English,English,Other Certificate/Diploma Not Univ,Part-Time,Other Managers,$125000-$149999,White,Burgers_Burger Past 30 1-2
256,55-59,Ontario,Male,Other,English,Other Certificate/Diploma Not Univ,Not Employed,Other,$100000-$124999,White,Burgers_Burger Past 30 1-2
257,70+,Quebec,Male,Other,English,Bachelors Degrees,Full-Time,Other,Under $25000,Not Stated,Burgers_Burger Past 30 1-2
258,40-44,Quebec,Female,French,English,High School Graduation Certificate,Full-Time,Unskilled,$150000-$199999,White,Chicken_Chicken Past 30 1-2
259,25-29,Quebec,Female,German,English,Other Certificate/Diploma Not Univ,Not Employed,Technical/Sales/Teaching/Other White Collar,$25000-$34999,White,Burgers_Burger past 30 3-4
260,50-54,Ontario,Female,Other,English,High School Graduation Certificate,Full-Time,Unskilled,$60000-$74999,White,Chicken_Chicken Past 30 1-2
261,50-54,Saskatchewan,Female,Indian-Other,English,Other Certificate/Diploma Not Univ,Part-Time,Professionals,$200000 Or Over,White,Popeye (Less) 1-2
262,40-44,Ontario,Female,Chinese - Mandarin,Polish,Elementary School Graduation Cert,Not Employed,Senior Managers/Owners,$150000-$199999,White,Burgers_Burger Past 30 5+
263,15-17,British Columbia,Male,French,English,Trade Certificate/Diploma,Full-Time,Clerical/Secretarial,Under $25000,Aboriginal,Chicken_Chicken Past 30 1-2
264,65-69,Ontario,Male,Chinese - Mandarin,English,Masters Degrees,Not Employed,Other,$60000-$74999,White,Burgers_Burger Past 30 1-2
265,60-64,Alberta,Female,English,English,Univ Cert/Dipl Below Bachelor Level,Full-Time,Other Managers,$25000-$34999,South Asian (East Indian Pakistani),Chicken_Chicken Past 30 1-2
266,55-59,Alberta,Female,English,English,Trade Certificate/Diploma,Not Employed,Other Managers,$60000-$74999,White,Popeyes 5+
267,19 Years,British Columbia,Male,English,English,Trade Certificate/Diploma,Full-Time,Other,$75000-$99999,White,Burgers_Burger Past 30 1-2
268,60-64,Ontario,Male,English,Other,Other Certificate/Diploma Not Univ,Full-Time,Unskilled,$100000-$124999,South Asian (East Indian Pakistani),Chicken_Chicken past 30 3-4
269,60-64,Ontario,Female,English,English,Elementary School Graduation Cert,Not Employed,Other,$60000-$74999,White,Burgers_Burger Past 30 5+
270,35-39,Ontario,Female,German,French,Other Certificate/Diploma Not Univ,Full-Time,Technical/Sales/Teaching/Other White Collar,$75000-$99999,Not Stated,Chicken_Chicken Past 30 1-2
271,30-34,Ontario,Male,Chinese - Mandarin,English,Masters Degrees,Part-Time,Clerical/Secretarial,$35000-$39999,White,Burgers_Burger Past 30 1-2
272,70+,Newfoundland and Labrador,Male,French,English,Trade Certificate/Diploma,Full-Time,Other,$75000-$99999,White,Chicken_Chicken Past 30 1-2
273,15-17,Ontario,Female,Other,English,Elementary School Graduation Cert,Not Employed,Other Managers,$125000-$149999,White,Burgers_Burger Past 30 1-2
274,65-69,Quebec,Male,English,English,High School Graduation Certificate,Not Employed,Other,Under $25000,White,Burgers_Burger Past 30 1-2
275,60-64,Alberta,Female,French,English,Other Certificate/Diploma Not Univ,Not Employed,Other,$100000-$124999,White,Chicken_Chicken Past 30 1-2
276,40-44,Ontario,Female,Polish,English,High School Graduation Certificate,Not Employed,Other Managers,$60000-$74999,White,Burgers_Burger Past 30 1-2
277,65-69,Nova Scotia,Male,English,English,Univ Cert/Dipl Above Bachelor Level,Not Employed,Other,$100000-$124999,White,Burgers_Burger Past 30 1-2
278,50-54,Quebec,Male,English,English,Elementary School Graduation Cert,Not Employed,Other Managers,$200000 Or Over,Aboriginal,Burgers_Burger Past 30 1-2
279,70+,Quebec,Male,French,French,Trade Certificate/Diploma,Full-Time,Other Managers,$40000-$49999,White,Burgers_Burger Past 30 1-2
280,35-39,British Columbia,Male,English,English,Other Certificate/Diploma Not Univ,Part-Time,Technical/Sales/Teaching/Other White Collar,$50000-$59999,White,Burgers_Burger Past 30 1-2
281,25-29,Quebec,Female,English,English,Other Certificate/Diploma Not Univ,Full-Time,Other,$75000-$99999,White,Burgers_Burger Past 30 1-2
282,18 Years,Ontario,Female,English,French,High School Graduation Certificate,Full-Time,Other Managers,$75000-$99999,White,Burgers_Burger Past 30 1-2
283,45-49,Manitoba,Female,English,English,Elementary School Graduation Cert,Not Employed,Other Managers,$40000-$49999,White,Burgers_Burger Past 30 1-2
284,22-24,British Columbia,Male,English,English,Univ Cert/Dipl Below Bachelor Level,Full-Time,Other,$150000-$199999,Other,Chicken_Chicken past 30 3-4
285,55-59,Ontario,Female,English,English,Trade Certificate/Diploma,Full-Time,Technical/Sales/Teaching/Other White Collar,$75000-$99999,White,Burgers_Burger Past 30 1-2
286,70+,Alberta,Female,English,English,Trade Certificate/Diploma,Full-Time,Other,$100000-$124999,White,Chicken_Chicken Past 30 1-2
287,30-34,Ontario,Female,Other,English,Degree In Medicine/Dentistry/ Veterinary Medic,Not Employed,Other,$60000-$74999,White,Burgers_Burger Past 30 1-2
288,60-64,Ontario,Male,English,French,Univ Cert/Dipl Below Bachelor Level,Not Employed,Other,$200000 Or Over,White,Chicken_Chicken Past 30 1-2
289,25-29,British Columbia,Male,English,English,High School Graduation Certificate,Part-Time,Senior Managers/Owners,$35000-$39999,Not Stated,Burgers_Burger past 30 3-4
290,55-59,New Brunswick,Female,French,Indian-Punjabi,Other Certificate/Diploma Not Univ,Full-Time,Other,$60000-$74999,Aboriginal,Burgers_Burger Past 30 1-2
291,35-39,Ontario,Female,English,English,Other Certificate/Diploma Not Univ,Not Employed,Other Managers,$100000-$124999,South Asian (East Indian Pakistani),Burgers_Burger Past 30 1-2
292,35-39,New Brunswick,Female,English,English,Elementary School Graduation Cert,Full-Time,Professionals,$75000-$99999,White,Chicken_Chicken Past 30 1-2
293,70+,Alberta,Male,French,French,Elementary School Graduation Cert,Full-Time,Professionals,$100000-$124999,Not Stated,Burgers_Burger Past 30 1-2
294,35-39,Quebec,Female,Indian-Hindi,English,High School Graduation Certificate,Full-Time,Other Managers,$25000-$34999,White,Chicken_Chicken Past 30 5+
295,40-44,Ontario,Male,English,English,Other Certificate/Diploma Not Univ,Not Employed,Unskilled,$25000-$34999,Black,Chicken_Chicken Past 30 1-2
296,35-39,British Columbia,Female,English,English,Bachelors Degrees,Not Employed,Other,$125000-$149999,White,Burgers_Burger Past 30 1-2
297,50-54,Ontario,Male,Other,French,Trade Certificate/Diploma,Not Employed,Other,$75000-$99999,White,Chicken_Chicken Past 30 1-2
298,25-29,British Columbia,Male,English,English,Other Certificate/Diploma Not Univ,Part-Time,Other,$40000-$49999,Not Stated,Chicken_Chicken Past 30 1-2
299,25-29,British Columbia,Male,English,French,High School Graduation Certificate,Full-Time,Professionals,$100000-$124999,White,Chicken_Chicken Past 30 1-2
300,19 Years,Ontario,Male,English,English,Trade Certificate/Diploma,Full-Time,Other Managers,$35000-$39999,White,Chicken_Chicken Past 30 1-2
301,25-29,Quebec,Female,English,English,High School Graduation Certificate,Full-Time,Unskilled,$75000-$99999,White,Burgers_Burger Past 30 1-2
302,60-64,British Columbia,Female,English,English,Masters Degrees,Not Employed,Other Managers,$75000-$99999,White,Burgers_Burger Past 30 1-2
303,35-39,British Columbia,Male,French,English,Other Certificate/Diploma Not Univ,Full-Time,Other,$75000-$99999,White,Burgers_Burger past 30 3-4
