,Age,Geo,Gender,Language_Spoken,Language_Used,HH_Structure,Education,Occupation,HH_Income,Personal_Income,Ethnic_Background
187,30-34,Quebec,Female,English,French,Couple - No Children Living At Home,Elementary School Graduation Cert,Other,"$100,000-$124,999","$50,000-$59,999",White
188,45-49,Alberta,Male,English,English,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Professionals,"$25,000-$34,999","$60,000-$74,999",White
189,35-39,Ontario,Female,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other,"Under $25,000","$60,000-$74,999","South Asian (East Indian, Pakistani)"
190,50-54,Ontario,Female,English,English,Empty Nesters,Elementary School Graduation Cert,Professionals,"$125,000-$149,999","$75,000-$99,999",White
191,30-34,Manitoba,Female,English,French,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Other,"$75,000-$99,999","$100,000-$124,999",White
192,45-49,British Columbia,Female,English,Indian-Hindi,Couple With Children Living at Home,High School Graduation Certificate,Other,"$100,000-$124,999","Under $25,000",White
193,30-34,Quebec,Male,English,English,Other,"""Bachelors Degrees""",Unskilled,"$100,000-$124,999","$40,000-$49,999",Chinese
194,35-39,Ontario,Male,Other,Other,Adult With Children Living At Home,"Other Certificate/Diploma, Not Univ.",Clerical/Secretarial,"$60,000-$74,999","Under $25,000",White
195,35-39,Ontario,Male,Other,Other,Empty Nesters,"""Bachelors Degrees""",Other,"Under $25,000","Under $25,000",White
196,55-59,Alberta,Female,English,English,Couple - No Children Living At Home,Elementary School Graduation Cert,Clerical/Secretarial,"$150,000-$199,999","$50,000-$59,999",White
197,65-69,Ontario,Female,Tagalog,French,Couple - No Children Living At Home,Elementary School Graduation Cert,Clerical/Secretarial,"$40,000-$49,999","$125,000-$149,999",Not Stated
198,50-54,Prince Edward Island,Female,English,English,Couple With Children Living at Home,"""Bachelors Degrees""",Other,"Under $25,000",None,White
199,20-21,Ontario,Male,English,French,Couple - No Children Living At Home,Trade Certificate/Diploma,Other,"$40,000-$49,999","$100,000-$124,999",Black
200,50-54,Ontario,Female,English,English,Adult Sharing Accommodation,High School Graduation Certificate,Professionals,"$200,000 Or Over","$50,000-$59,999",White
201,60-64,Quebec,Female,English,French,Adult With Children Living At Home,"Other Certificate/Diploma, Not Univ.",Other Managers,"$75,000-$99,999","$50,000-$59,999",White
202,20-21,Ontario,Male,English,English,Empty Nesters,Univ. Cert./Dipl. Below Bachelor Level,Other Managers,"Under $25,000","Under $25,000","West Asian (Afghan, Iranian, etc.)"
203,70+,Manitoba,Female,French,English,Couple With Children Living at Home,High School Graduation Certificate,Clerical/Secretarial,"$60,000-$74,999","$35,000-$39,999",White
204,55-59,Ontario,Female,English,English,Empty Nesters,"""Masters Degrees""",Other,"$35,000-$39,999","Under $25,000",White
205,30-34,New Brunswick,Female,English,English,Adult Sharing Accommodation,"Other Certificate/Diploma, Not Univ.",Other,"$60,000-$74,999","Under $25,000",White
206,65-69,Nova Scotia,Female,French,English,Couple - No Children Living At Home,High School Graduation Certificate,Other,"Under $25,000","$75,000-$99,999",White
207,45-49,Nova Scotia,Male,English,English,Other,Elementary School Graduation Cert,Other Managers,"$40,000-$49,999","$25,000-$34,999",Aboriginal
208,70+,Quebec,Female,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Professionals,"$60,000-$74,999","Under $25,000",White
209,35-39,British Columbia,Female,Other,English,Adult Living Alone,High School Graduation Certificate,Other,"$75,000-$99,999",None,Black
210,50-54,Ontario,Female,English,English,Couple - No Children Living At Home,High School Graduation Certificate,Senior Managers/Owners,"$75,000-$99,999","Under $25,000",White
211,25-29,Ontario,Male,English,English,Other,"""Masters Degrees""",Other,"$75,000-$99,999","$25,000-$34,999",Chinese
212,20-21,Ontario,Female,English,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"Under $25,000","$75,000-$99,999",White
213,70+,Quebec,Female,English,Indian-Other,Adult Living Alone,High School Graduation Certificate,Other,"$100,000-$124,999","$75,000-$99,999",Aboriginal
214,60-64,New Brunswick,Male,Spanish,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Other,"$75,000-$99,999","Under $25,000",White
215,70+,Ontario,Male,English,English,Adult Sharing Accommodation,Elementary School Graduation Cert,Other,"$150,000-$199,999","$60,000-$74,999",White
216,65-69,Quebec,Male,English,English,Adult Sharing Accommodation,"""Bachelors Degrees""",Other,"$100,000-$124,999","$35,000-$39,999",Arab
217,70+,British Columbia,Male,French,French,Adult With Children Living At Home,High School Graduation Certificate,Senior Managers/Owners,"$60,000-$74,999","Under $25,000",White
218,65-69,Saskatchewan,Male,French,English,Couple With Children Living at Home,High School Graduation Certificate,Primary,"$25,000-$34,999","$60,000-$74,999",White
219,45-49,British Columbia,Female,French,English,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Professionals,"$150,000-$199,999","$40,000-$49,999","South Asian (East Indian, Pakistani)"
220,25-29,Saskatchewan,Male,French,English,Couple With Children Living at Home,Trade Certificate/Diploma,Other,"$150,000-$199,999","$75,000-$99,999",White
221,70+,Ontario,Female,French,English,Adult Sharing Accommodation,Univ. Cert./Dipl. Below Bachelor Level,Other Managers,"$150,000-$199,999","$60,000-$74,999",White
222,45-49,Saskatchewan,Female,French,French,Empty Nesters,High School Graduation Certificate,Unskilled,"$100,000-$124,999","Under $25,000",White
223,40-44,British Columbia,Female,English,English,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Other,"$75,000-$99,999","$60,000-$74,999",White
224,65-69,Quebec,Female,French,English,Other,Trade Certificate/Diploma,Other,"$150,000-$199,999","Under $25,000",White
225,30-34,British Columbia,Male,English,English,Adult With Children Living At Home,None,Technical/Sales/Teaching/Other White Collar,"$75,000-$99,999","$50,000-$59,999",Arab
226,45-49,Ontario,Female,Portuguese,French,Couple - No Children Living At Home,Elementary School Graduation Cert,Skilled,"$125,000-$149,999","Under $25,000",White
227,60-64,Quebec,Male,English,English,Couple With Children Living at Home,Earned Doctorate,Technical/Sales/Teaching/Other White Collar,"$60,000-$74,999","$25,000-$34,999",White
228,40-44,Quebec,Female,English,French,Couple With Children Living at Home,High School Graduation Certificate,Other,"$40,000-$49,999","$60,000-$74,999",White
229,22-24,Saskatchewan,Male,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other,"$50,000-$59,999","Under $25,000",Black
230,40-44,Quebec,Female,English,English,Couple With Children Living at Home,Trade Certificate/Diploma,Clerical/Secretarial,"Under $25,000","Under $25,000",White
231,30-34,Ontario,Female,English,French,Adult Living Alone,High School Graduation Certificate,Senior Managers/Owners,"$125,000-$149,999","$75,000-$99,999",White
232,30-34,British Columbia,Male,English,French,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Other,"$50,000-$59,999","$40,000-$49,999",White
233,30-34,Saskatchewan,Female,English,French,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Other,"$50,000-$59,999","Under $25,000",White
234,20-21,Ontario,Male,Italian,English,Couple - No Children Living At Home,High School Graduation Certificate,Other,"$150,000-$199,999","$150,000-$199,999",White
235,25-29,Ontario,Male,Arabic,Portuguese,Empty Nesters,Trade Certificate/Diploma,Technical/Sales/Teaching/Other White Collar,"$75,000-$99,999","$200,000 Or Over",Aboriginal
236,40-44,Saskatchewan,Female,English,English,Couple - No Children Living At Home,High School Graduation Certificate,Other Managers,"$40,000-$49,999","Under $25,000",Not Stated
237,25-29,Quebec,Male,French,English,Adult Sharing Accommodation,Elementary School Graduation Cert,Technical/Sales/Teaching/Other White Collar,"$35,000-$39,999","$200,000 Or Over",White
238,55-59,Ontario,Female,French,French,Couple With Children Living at Home,"""Bachelors Degrees""",Skilled,"$35,000-$39,999","Under $25,000",Other
239,65-69,Alberta,Male,English,French,Adult With Children Living At Home,Univ. Cert./Dipl. Below Bachelor Level,Other,"$40,000-$49,999","$75,000-$99,999",Arab
240,60-64,Alberta,Male,Spanish,French,Adult Sharing Accommodation,"Other Certificate/Diploma, Not Univ.",Other,"$50,000-$59,999","Under $25,000",White
241,45-49,British Columbia,Male,Polish,English,Couple With Children Living at Home,High School Graduation Certificate,Other Managers,"$100,000-$124,999","$60,000-$74,999",White
242,55-59,Quebec,Female,English,English,Adult With Children Living At Home,"""Masters Degrees""",Other,"$60,000-$74,999","$75,000-$99,999",White
243,65-69,Ontario,Female,English,English,Adult Sharing Accommodation,"Other Certificate/Diploma, Not Univ.",Other,"$100,000-$124,999","Under $25,000",White
244,30-34,Ontario,Male,Spanish,English,Couple With Children Living at Home,Elementary School Graduation Cert,Skilled,"$75,000-$99,999","Under $25,000",White
245,30-34,Quebec,Male,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other,"$75,000-$99,999","$60,000-$74,999",White
246,15-17,Alberta,Male,Spanish,English,Couple With Children Living at Home,Elementary School Graduation Cert,Other,"$40,000-$49,999","Under $25,000",White
247,35-39,Ontario,Female,English,English,Couple With Children Living at Home,"""Bachelors Degrees""",Other Managers,"$40,000-$49,999","Under $25,000",White
248,15-17,Quebec,Male,French,English,Adult With Children Living At Home,Univ. Cert./Dipl. Above Bachelor Level,Technical/Sales/Teaching/Other White Collar,"$100,000-$124,999","$35,000-$39,999",White
249,35-39,Quebec,Male,English,English,Couple - No Children Living At Home,High School Graduation Certificate,Unskilled,"$75,000-$99,999","$60,000-$74,999",Other
250,65-69,Manitoba,Female,French,English,Adult With Children Living At Home,High School Graduation Certificate,Other,"$125,000-$149,999","$25,000-$34,999",Other
251,70+,British Columbia,Male,French,English,Couple With Children Living at Home,High School Graduation Certificate,Other Managers,"$75,000-$99,999","Under $25,000",White
252,50-54,Alberta,Female,English,English,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Professionals,"$50,000-$59,999","Under $25,000",Arab
253,65-69,Manitoba,Female,English,French,Adult With Children Living At Home,"Other Certificate/Diploma, Not Univ.",Other,"$100,000-$124,999","Under $25,000",White
254,19 Years,Alberta,Female,Other,French,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Clerical/Secretarial,"$200,000 Or Over","$60,000-$74,999",White
255,22-24,Alberta,Female,English,Chinese-Cantonese,Couple With Children Living at Home,Univ. Cert./Dipl. Above Bachelor Level,Other,"$50,000-$59,999","$50,000-$59,999",White
256,20-21,Ontario,Female,English,English,Couple With Children Living at Home,High School Graduation Certificate,Other,"$35,000-$39,999","$75,000-$99,999",White
257,35-39,Quebec,Male,English,English,Couple With Children Living at Home,Elementary School Graduation Cert,Unskilled,"$40,000-$49,999","$25,000-$34,999",Not Stated
258,40-44,Alberta,Male,French,English,Couple - No Children Living At Home,"Other Certificate/Diploma, Not Univ.",Other,"$125,000-$149,999","$50,000-$59,999",White
259,35-39,Alberta,Male,English,English,Adult Living Alone,"""Bachelors Degrees""",Unskilled,"$50,000-$59,999","$40,000-$49,999",White
260,70+,Saskatchewan,Male,English,English,Couple - No Children Living At Home,"""Bachelors Degrees""",Unskilled,"$100,000-$124,999","$25,000-$34,999",Not Stated
261,60-64,Alberta,Female,English,English,Adult Sharing Accommodation,Elementary School Graduation Cert,Other,"Under $25,000","Under $25,000",White
262,35-39,Saskatchewan,Female,English,English,Couple - No Children Living At Home,Univ. Cert./Dipl. Below Bachelor Level,Technical/Sales/Teaching/Other White Collar,"$40,000-$49,999","$40,000-$49,999",White
263,40-44,Ontario,Female,Ukrainian,English,Couple - No Children Living At Home,Trade Certificate/Diploma,Other Managers,"$75,000-$99,999","Under $25,000",White
264,70+,Alberta,Male,French,English,Adult Living Alone,"Other Certificate/Diploma, Not Univ.",Other,"$150,000-$199,999","$75,000-$99,999",White
265,19 Years,Ontario,Male,English,English,Couple - No Children Living At Home,High School Graduation Certificate,Other,"$75,000-$99,999","$35,000-$39,999",White
266,50-54,British Columbia,Male,French,English,Couple With Children Living at Home,Elementary School Graduation Cert,Senior Managers/Owners,"$75,000-$99,999","$40,000-$49,999",White
267,20-21,British Columbia,Male,French,English,Empty Nesters,High School Graduation Certificate,Other,"Under $25,000","Under $25,000",White
268,30-34,Quebec,Male,English,Other,Couple With Children Living at Home,High School Graduation Certificate,Other,"$40,000-$49,999","Under $25,000",White
269,30-34,Manitoba,Female,English,English,Adult With Children Living At Home,Trade Certificate/Diploma,Other,"$100,000-$124,999","$25,000-$34,999",Black
270,45-49,British Columbia,Female,English,French,Couple With Children Living at Home,Trade Certificate/Diploma,Professionals,"$40,000-$49,999","$60,000-$74,999",White
271,22-24,Ontario,Male,English,English,Other,High School Graduation Certificate,Other Managers,"$125,000-$149,999","Under $25,000",White
272,65-69,Newfoundland and Labrador,Male,French,English,Couple With Children Living at Home,High School Graduation Certificate,Clerical/Secretarial,"$50,000-$59,999","$40,000-$49,999",White
273,65-69,Quebec,Female,French,Other,Couple With Children Living at Home,"""Bachelors Degrees""",Other,"$60,000-$74,999","Under $25,000",Not Stated
274,35-39,New Brunswick,Male,French,English,Couple - No Children Living At Home,Elementary School Graduation Cert,Senior Managers/Owners,"$75,000-$99,999","Under $25,000",White
275,45-49,Ontario,Male,English,Spanish,Couple With Children Living at Home,"Other Certificate/Diploma, Not Univ.",Other,"$60,000-$74,999","$40,000-$49,999",White
276,50-54,Nova Scotia,Male,Chinese - Mandarin,Other,Empty Nesters,Elementary School Graduation Cert,Professionals,"$35,000-$39,999","$25,000-$34,999",White
